LAMMPS data file via write_data, version 11 Aug 2017, timestep = 2510000

9000 atoms
3 atom types

-2.4612137849806786e+00 5.2591213784963671e+01 xlo xhi
-6.1014946757545374e-02 5.0191014946739713e+01 ylo yhi
2.5109315160635859e+00 4.7619068483928316e+01 zlo zhi

Masses

1 1
2 1.755
3 1.437

Pair Coeffs # chik/wolf

1 1120.53 2.89274 26.1321 16800 0.2 0.2
2 2797.98 4.40732 0 3.4232e+06 0.2 0.2
3 1476.9 3.4075 0 16800 0.2 0.2

Atoms # charge

5830 2 6.7375744539999998e+00 2.6991053993563092e+00 1.9148413179158603e+00 2.8521913769190417e+00 0 1 -1
3393 1 -3.5019617880000000e+00 1.9381810743712409e+00 2.9832912048566937e+00 3.7332479510172334e+00 1 0 -1
2239 1 -3.5019617880000000e+00 -5.8085080039801640e-01 2.8473143338359677e+00 4.0163031569058418e+00 0 -1 -2
7717 2 6.7375744539999998e+00 8.2204755219757519e-01 2.6915335617373102e+00 4.8152055576170554e+00 1 1 -2
4441 1 -3.5019617880000000e+00 1.1162494890461998e+00 1.2514043873917731e+00 5.5023832594821389e+00 1 0 -1
3962 1 -3.5019617880000000e+00 8.7357045233596020e-01 3.6297231235461527e+00 6.1222871114947335e+00 1 0 -1
7291 2 6.7375744539999998e+00 9.9183442412196454e-01 4.9680682934686002e+00 6.9250096263541954e+00 0 0 -1
3606 1 -3.5019617880000000e+00 -1.6534896958270093e+00 3.0453367077691258e+00 7.1964851569719830e+00 1 0 -1
6096 2 6.7375744539999998e+00 -2.0370251486622624e+00 3.3072124105226313e+00 3.8363555414869346e+00 0 1 0
5206 1 -3.5019617880000000e+00 1.0208906220539529e+00 6.1171526369469307e+00 5.8225964587296648e+00 1 0 -1
6244 2 6.7375744539999998e+00 -1.8813538726128844e+00 4.5202025944211428e+00 7.8274005486697176e+00 0 1 -1
1830 1 -3.5019617880000000e+00 -3.3887054645725634e-01 5.1482827038076584e+00 7.9608326967358476e+00 1 -1 -2
1612 1 -3.5019617880000000e+00 2.4194721078582990e+00 4.9622243069737033e+00 7.8125765753849805e+00 -1 0 0
8950 3 2.2836791359999999e+00 2.4336796816767903e-01 2.0177805666260502e+00 7.7793510395665750e+00 -2 -3 -2
4423 1 -3.5019617880000000e+00 3.4367636599876086e+00 5.8321235842006995e+00 4.9105172594132780e+00 0 0 0
753 1 -3.5019617880000000e+00 -2.2680079494602094e+00 4.6714590475169153e+00 4.7173330983671633e+00 0 1 0
6467 2 6.7375744539999998e+00 1.7135696894328145e+00 -5.1297121642036508e-02 6.1872770483223078e+00 1 0 -1
2111 1 -3.5019617880000000e+00 1.3562873031605172e+00 9.1749299597242151e-03 7.7840655590154197e+00 0 1 -2
1560 1 -3.5019617880000000e+00 3.9117093185475529e+00 1.3162743678910360e+00 3.7665157649191894e+00 0 0 -1
5293 1 -3.5019617880000000e+00 6.9145794912456502e+00 2.5928738152286996e+00 3.6566000722021856e+00 1 1 -1
7574 2 6.7375744539999998e+00 6.3516830058130935e+00 2.6920463700314303e+00 5.2564686913604621e+00 1 1 -1
6092 2 6.7375744539999998e+00 4.9595043776326770e+00 5.4400512050248704e+00 5.2966106407696829e+00 0 1 -1
1758 1 -3.5019617880000000e+00 5.2373649517902265e+00 3.8141862728000251e+00 5.4269664314634465e+00 1 1 0
727 1 -3.5019617880000000e+00 5.7252572989931885e+00 1.2165525287781416e+00 5.6820962314232997e+00 1 0 -1
3128 1 -3.5019617880000000e+00 7.6475601360581056e+00 3.0601098283725099e+00 6.0873296788784765e+00 0 1 -1
6413 2 6.7375744539999998e+00 8.8307366614162213e+00 3.7236887900056730e+00 6.9401806306036979e+00 1 1 -1
7276 2 6.7375744539999998e+00 4.5465046197661279e+00 3.5160691830179341e-01 4.9144872785835831e+00 1 1 -2
2058 1 -3.5019617880000000e+00 8.3188080764612611e+00 5.2526796035250412e+00 7.1915290090559223e+00 0 1 -2
6890 2 6.7375744539999998e+00 9.5358877036221106e+00 5.2171292424751714e+00 2.9905254098105569e+00 0 0 0
1089 1 -3.5019617880000000e+00 5.2344013555595374e+00 6.1037666914760340e+00 6.7263405667487497e+00 -1 1 -1
5121 1 -3.5019617880000000e+00 5.7943404252789232e+00 5.8330684130551509e+00 3.9288741182516800e+00 0 1 -1
2736 1 -3.5019617880000000e+00 8.3641128085811172e+00 6.1566509330394954e+00 3.5865622748840220e+00 0 0 -1
1488 1 -3.5019617880000000e+00 8.7629873851841769e+00 4.7301385119305650e-01 7.9256568443124182e+00 0 0 -1
8438 3 2.2836791359999999e+00 1.4912538032153360e+01 5.3583771431406486e+00 4.3185301385259205e+00 2 3 2
2945 1 -3.5019617880000000e+00 1.0207896233518452e+01 3.8740695070912574e+00 6.1927019369098648e+00 0 0 -1
5017 1 -3.5019617880000000e+00 1.3599638468698437e+01 4.3733959947698464e+00 2.7493379462317176e+00 0 2 0
6175 2 6.7375744539999998e+00 1.2171891506864352e+01 1.2046175355703563e+00 3.6936457370035982e+00 1 1 -1
999 1 -3.5019617880000000e+00 1.0692879711190029e+01 4.7833978876311205e+00 3.9743055562533538e+00 0 1 -1
351 1 -3.5019617880000000e+00 1.1571004799376434e+01 2.2831760679224851e+00 4.6655558372310946e+00 0 0 -2
6142 2 6.7375744539999998e+00 1.1346746638462422e+01 3.8242152733444064e+00 5.0750710710252873e+00 1 0 0
3085 1 -3.5019617880000000e+00 1.3525598721390526e+01 6.8457222345731905e-01 4.4146103309309934e+00 1 0 0
208 1 -3.5019617880000000e+00 1.2672738374570395e+01 4.3836716671470697e+00 5.9291003470844323e+00 0 0 -2
6658 2 6.7375744539999998e+00 1.5088181251095879e+01 3.2220377810481210e-01 4.8637132872683573e+00 0 0 -1
8434 3 2.2836791359999999e+00 1.2945336939086189e+01 1.1153010745617367e+00 7.0260325633303884e+00 -1 4 -1
7596 2 6.7375744539999998e+00 1.2883200960412328e+01 4.5445087286457140e+00 7.5129463380551034e+00 1 1 -1
